Stato,Entity,Code
Afghanistan,Afghanistan,AFG
Albania,Albania,ALB
Algeria,Algeria,DZA
American Samoa,American Samoa,ASM
Andorra,Andorra,AND
Angola,Angola,AGO
Anguilla,United Kingdom,UK
Antigua and Barbuda,Antigua and Barbuda,ATG
Argentina,Argentina,ARG
Armenia,Armenia,ARM
Aruba,Netherlands,ABW
Australia,Australia,AUS
Austria,Austria,AUT
Azerbaijan,Azerbaijan,AZE
Bahamas,Bahamas,BHS
Bahrain,Bahrain,BHR
Bangladesh,Bangladesh,BGD
Barbados,Barbados,BRB
Belarus,Belarus,BLR
Belgium,Belgium,BEL
Belize,Belize,BLZ
Benin,Benin,BEN
Bermuda,United Kingdom,UK
Bhutan,Bhutan,BTN
Bolivia,Bolivia,BOL
Bonaire Sint Eustatius and Saba,Netherlands,ABW
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Botswana,Botswana,BWA
Brazil,Brazil,BRA
British Virgin Islands,United Kingdom,UK
Brunei,Brunei,BRN
Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,BFA
Burundi,Burundi,BDI
Cambodia,Cambodia,KHM
Cameroon,Cameroon,CMR
Canada,Canada,CAN
Cape Verde,Cabo Verde,CPV
Cayman Islands,United Kingdom,UK
Central African Republic,Central African Republic,CAF
Chad,Chad,TCD
Channel Islands,United Kingdom,UK
Chile,Chile,CHL
China,China,CHN
Colombia,Colombia,COL
Comoros,Comoros,COM
Congo,Congo (Brazzaville),COG
Cook Islands,Cook Islands,COK
Costa Rica,Costa Rica,CRI
Cote d'Ivoire,Cote d'Ivoire,CIV
Croatia,Croatia,HRV
Cuba,Cuba,CUB
Curacao,Netherlands,ABW
Cyprus,Cyprus,CYP
Czechia,Czechia,CZE
Democratic Republic of Congo,Congo (Kinshasa),COD
Denmark,Denmark,DNK
Djibouti,Djibouti,DJI
Dominica,Dominica,DMA
Dominican Republic,Dominican Republic,DOM
Ecuador,Ecuador,ECU
Egypt,Egypt,EGY
El Salvador,El Salvador,SLV
Equatorial Guinea,Equatorial Guinea,GNQ
Eritrea,Eritrea,ERI
Estonia,Estonia,EST
Eswatini,Eswatini,SWZ
Ethiopia,Ethiopia,ETH
Faeroe Islands,Denmark,DNK
Falkland Islands,United Kingdom,UK
Fiji,Fiji,FJI
Finland,Finland,FIN
France,France,FRA
French Guiana,France,FRA
French Polynesia,France,FRA
Gabon,Gabon,GAB
Gambia,Gambia,GMB
Georgia,Georgia,GEO
Germany,Germany,DEU
Ghana,Ghana,GHA
Gibraltar,United Kingdom,UK
Greece,Greece,GRC
Greenland,Denmark,DNK
Grenada,Grenada,GRD
Guadeloupe,France,FRA
Guam,Guam,GUM
Guatemala,Guatemala,GTM
Guinea,Guinea,GIN
Guinea-Bissau,Guinea-Bissau,GNB
Guyana,Guyana,GUY
Haiti,Haiti,HTI
Honduras,Honduras,HND
Hong Kong,China,CHN
Hungary,Hungary,HUN
Iceland,Iceland,ISL
India,India,IND
Indonesia,Indonesia,IDN
Iran,Iran,IRN
Iraq,Iraq,IRQ
Ireland,Ireland,IRL
Isle of Man,United Kingdom,UK
Israel,Israel,ISR
Italy,Italy,ITA
Jamaica,Jamaica,JAM
Japan,Japan,JPN
Jordan,Jordan,JOR
Kazakhstan,Kazakhstan,KAZ
Kenya,Kenya,KEN
Kiribati,Kiribati,KIR
Kuwait,Kuwait,KWT
Kyrgyzstan,Kyrgyzstan,KGZ
Laos,Laos,LAO
Latvia,Latvia,LVA
Lebanon,Lebanon,LBN
Lesotho,Lesotho,LSO
Liberia,Liberia,LBR
Libya,Libya,LBY
Liechtenstein,Liechtenstein,LIE
Lithuania,Lithuania,LTU
Luxembourg,Luxembourg,LUX
Macao,Macao,MAC
Madagascar,Madagascar,MDG
Malawi,Malawi,MWI
Malaysia,Malaysia,MYS
Maldives,Maldives,MDV
Mali,Mali,MLI
Malta,Malta,MLT
Marshall Islands,Marshall Islands,MHL
Martinique,France,FRA
Mauritania,Mauritania,MRT
