Entity,Code,Year, Total population
Afghanistan,AFG,2019, 38.042.000 
Albania,ALB,2019, 2.881.000 
Algeria,DZA,2019, 43.053.000 
American Samoa,ASM,2019, 55.000 
Andorra,AND,2019, 77.000 
Angola,AGO,2019, 31.825.000 
Anguilla,AIA,2019, 15.000 
Antigua and Barbuda,ATG,2019, 97.000 
Argentina,ARG,2019, 44.781.000 
Armenia,ARM,2019, 2.958.000 
Aruba,ABW,2019, 106.000 
Australia,AUS,2019, 25.203.000 
Austria,AUT,2019, 8.955.000 
Azerbaijan,AZE,2019, 10.048.000 
Bahamas,BHS,2019, 389.000 
Bahrain,BHR,2019, 1.641.000 
Bangladesh,BGD,2019, 163.046.000 
Barbados,BRB,2019, 287.000 
Belarus,BLR,2019, 9.452.000 
Belgium,BEL,2019, 11.539.000 
Belize,BLZ,2019, 390.000 
Benin,BEN,2019, 11.801.000 
Bermuda,BMU,2019, 63.000 
Bhutan,BTN,2019, 763.000 
Bolivia,BOL,2019, 11.513.000 
Bonaire Sint Eustatius and Saba,BES,2019, 26.000 
Bosnia and Herzegovina,BIH,2019, 3.301.000 
Botswana,BWA,2019, 2.304.000 
Brazil,BRA,2019, 211.050.000 
British Virgin Islands,VGB,2019, 30.000 
Brunei,BRN,2019, 433.000 
Bulgaria,BGR,2019, 7.000.000 
Burkina Faso,BFA,2019, 20.321.000 
Burundi,BDI,2019, 11.531.000 
Cambodia,KHM,2019, 16.487.000 
Cameroon,CMR,2019, 25.876.000 
Canada,CAN,2019, 37.411.000 
Cape Verde,CPV,2019, 550.000 
Cayman Islands,CYM,2019, 65.000 
Central African Republic,CAF,2019, 4.745.000 
Chad,TCD,2019, 15.947.000 
Channel Islands,OWID_CIS,2019, 172.000 
Chile,CHL,2019, 18.952.000 
China,CHN,2019, 1.433.784.064 
Colombia,COL,2019, 50.339.000 
Comoros,COM,2019, 851.000 
Congo,COG,2019, 5.381.000 
Cook Islands,COK,2019, 18.000 
Costa Rica,CRI,2019, 5.048.000 
Cote d'Ivoire,CIV,2019, 25.717.000 
Croatia,HRV,2019, 4.130.000 
Cuba,CUB,2019, 11.333.000 
Curacao,CUW,2019, 163.000 
Cyprus,CYP,2019, 1.199.000 
Czechia,CZE,2019, 10.689.000 
Democratic Republic of Congo,COD,2019, 86.791.000 
Denmark,DNK,2019, 5.772.000 
Djibouti,DJI,2019, 974.000 
Dominica,DMA,2019, 72.000 
Dominican Republic,DOM,2019, 10.739.000 
Ecuador,ECU,2019, 17.374.000 
Egypt,EGY,2019, 100.388.000 
El Salvador,SLV,2019, 6.454.000 
Equatorial Guinea,GNQ,2019, 1.356.000 
Eritrea,ERI,2019, 3.497.000 
Estonia,EST,2019, 1.326.000 
Eswatini,SWZ,2019, 1.148.000 
Ethiopia,ETH,2019, 112.079.000 
Faeroe Islands,FRO,2019, 49.000 
Falkland Islands,FLK,2019, 3.000 
Fiji,FJI,2019, 890.000 
Finland,FIN,2019, 5.532.000 
France,FRA,2019, 65.130.000 
French Guiana,GUF,2019, 291.000 
French Polynesia,PYF,2019, 279.000 
Gabon,GAB,2019, 2.173.000 
Gambia,GMB,2019, 2.348.000 
Georgia,GEO,2019, 3.997.000 
Germany,DEU,2019, 83.517.000 
Ghana,GHA,2019, 30.418.000 
Gibraltar,GIB,2019, 34.000 
Greece,GRC,2019, 10.473.000 
Greenland,GRL,2019, 57.000 
Grenada,GRD,2019, 112.000 
Guadeloupe,GLP,2019, 400.000 
Guam,GUM,2019, 167.000 
Guatemala,GTM,2019, 17.581.000 
Guinea,GIN,2019, 12.771.000 
Guinea-Bissau,GNB,2019, 1.921.000 
Guyana,GUY,2019, 783.000 
Haiti,HTI,2019, 11.263.000 
Honduras,HND,2019, 9.746.000 
Hong Kong,HKG,2019, 7.436.000 
Hungary,HUN,2019, 9.685.000 
Iceland,ISL,2019, 339.000 
India,IND,2019, 1.366.418.048 
Indonesia,IDN,2019, 270.625.984 
Iran,IRN,2019, 82.914.000 
Iraq,IRQ,2019, 39.310.000 
Ireland,IRL,2019, 4.882.000 
Isle of Man,IMN,2019, 85.000 
Israel,ISR,2019, 8.519.000 
Italy,ITA,2019, 60.550.000 
Jamaica,JAM,2019, 2.948.000 
Japan,JPN,2019, 126.860.000 
Jordan,JOR,2019, 10.102.000 
Kazakhstan,KAZ,2019, 18.551.000 
Kenya,KEN,2019, 52.574.000 
Kiribati,KIR,2019, 118.000
Kosovo,KOS,2019, 1.873.000 
Kuwait,KWT,2019, 4.207.000 
